date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2017-04-07,2356.59,2363.76,2350.74,2355.54,0,-1.95,-0.08%,2355.54,N/A,0
2017-04-06,2353.79,2364.16,2348.90,2357.49,0,4.54,0.19%,2357.49,N/A,0
2017-04-05,2366.59,2378.36,2350.52,2352.95,0,-7.21,-0.31%,2352.95,N/A,0
2017-04-04,2354.76,2360.53,2350.72,2360.16,0,1.32,0.06%,2360.16,N/A,0
2017-04-03,2362.34,2365.87,2344.73,2358.84,0,-3.88,-0.16%,2358.84,N/A,0
2017-03-31,2364.82,2370.35,2362.60,2362.72,0,-5.34,-0.23%,2362.72,N/A,0
2017-03-30,2361.31,2370.42,2358.58,2368.06,0,6.93,0.29%,2368.06,N/A,0
2017-03-29,2356.54,2363.36,2352.94,2361.13,0,2.56,0.11%,2361.13,N/A,0
2017-03-28,2339.79,2363.78,2337.63,2358.57,0,16.98,0.73%,2358.57,N/A,0
2017-03-27,2329.11,2344.90,2322.25,2341.59,0,-2.39,-0.10%,2341.59,N/A,0
2017-03-24,2350.42,2356.22,2335.74,2343.98,0,-1.98,-0.08%,2343.98,N/A,0
2017-03-23,2345.97,2358.92,2342.13,2345.96,0,-2.49,-0.11%,2345.96,N/A,0
2017-03-22,2343.00,2351.81,2336.45,2348.45,0,4.43,0.19%,2348.45,N/A,0
2017-03-21,2379.32,2381.93,2341.90,2344.02,0,-29.45,-1.24%,2344.02,N/A,0
2017-03-20,2378.24,2379.55,2369.66,2373.47,0,-4.78,-0.20%,2373.47,N/A,0
2017-03-17,2383.71,2385.71,2377.64,2378.25,0,-3.13,-0.13%,2378.25,N/A,0
2017-03-16,2387.71,2388.10,2377.18,2381.38,0,-3.88,-0.16%,2381.38,N/A,0
2017-03-15,2370.34,2390.01,2368.94,2385.26,0,19.81,0.84%,2385.26,N/A,0
2017-03-14,2368.55,2368.55,2358.18,2365.45,0,-8.02,-0.34%,2365.45,N/A,0
2017-03-13,2371.56,2374.42,2368.52,2373.47,0,0.87,0.04%,2373.47,N/A,0
2017-03-10,2372.52,2376.86,2363.04,2372.60,0,7.73,0.33%,2372.60,N/A,0
2017-03-09,2363.49,2369.08,2354.54,2364.87,0,1.89,0.08%,2364.87,N/A,0
2017-03-08,2369.81,2373.09,2361.01,2362.98,0,-5.41,-0.23%,2362.98,N/A,0
2017-03-07,2370.74,2375.12,2365.51,2368.39,0,-6.92,-0.29%,2368.39,N/A,0
2017-03-06,2375.23,2378.80,2367.98,2375.31,0,-7.81,-0.33%,2375.31,N/A,0
2017-03-03,2380.92,2383.89,2375.39,2383.12,0,1.20,0.05%,2383.12,N/A,0
2017-03-02,2394.75,2394.75,2380.17,2381.92,0,-14.04,-0.59%,2381.92,N/A,0
2017-03-01,2380.13,2400.98,2380.13,2395.96,0,32.32,1.37%,2395.96,N/A,0
2017-02-28,2366.08,2367.79,2358.96,2363.64,0,-6.11,-0.26%,2363.64,N/A,0
2017-02-27,2365.23,2371.54,2361.87,2369.75,0,2.41,0.10%,2369.75,N/A,0
2017-02-24,2355.73,2367.34,2352.87,2367.34,0,3.53,0.15%,2367.34,N/A,0
2017-02-23,2367.50,2368.26,2355.09,2363.81,0,0.99,0.04%,2363.81,N/A,0
2017-02-22,2361.11,2365.13,2358.34,2362.82,0,-2.56,-0.11%,2362.82,N/A,0
2017-02-21,2354.91,2366.71,2354.91,2365.38,0,14.22,0.60%,2365.38,N/A,0
2017-02-17,2343.01,2351.16,2339.58,2351.16,0,3.94,0.17%,2351.16,N/A,0
2017-02-16,2349.64,2351.31,2338.87,2347.22,0,-2.03,-0.09%,2347.22,N/A,0
2017-02-15,2335.58,2351.30,2334.81,2349.25,0,11.67,0.50%,2349.25,N/A,0
2017-02-14,2326.12,2337.58,2322.17,2337.58,0,9.33,0.40%,2337.58,N/A,0
2017-02-13,2321.72,2331.58,2321.42,2328.25,0,12.15,0.52%,2328.25,N/A,0
2017-02-10,2312.27,2319.23,2311.10,2316.10,0,8.23,0.36%,2316.10,N/A,0
2017-02-09,2296.70,2311.08,2296.61,2307.87,0,13.20,0.58%,2307.87,N/A,0
2017-02-08,2289.55,2295.91,2285.38,2294.67,0,1.59,0.07%,2294.67,N/A,0
2017-02-07,2295.87,2299.40,2290.16,2293.08,0,0.52,0.02%,2293.08,N/A,0
2017-02-06,2294.28,2296.18,2288.57,2292.56,0,-4.86,-0.21%,2292.56,N/A,0
